ECGTE - Environmental Taxes,ECGTE - Environmental Taxes,ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEP - Taxes on Pollution,ECGTEP - Taxes on Pollution,ECGTER - Taxes on Resources,ECGTER - Taxes on Resources,ECGTET - Taxes on Transport (Excluding Fuel for Transport),ECGTET - Taxes on Transport (Excluding Fuel for Transport)
Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP
72 610 000.00,0.9500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,72 610 000.00,0.9500%
77 930 000.00,0.9700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,77 930 000.00,0.9700%
77 140 000.00,0.9300%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,77 140 000.00,0.9300%
80 160 000.00,0.9000%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,80 160 000.00,0.9000%
77 950 000.00,0.8800%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,77 950 000.00,0.8800%
86 490 000.00,0.9600%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,86 490 000.00,0.9600%
87 310 000.00,0.8900%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,87 310 000.00,0.8900%
96 600 000.00,0.9500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,96 600 000.00,0.9500%
97 320 000.00,0.9200%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,97 320 000.00,0.9200%
97 700 000.00,0.9300%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,97 700 000.00,0.9300%
92 730 000.00,0.9300%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,92 730 000.00,0.9300%
91 000 000.00,0.9000%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,91 000 000.00,0.9000%
130 520 000.00,1.3000%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,130 520 000.00,1.3000%
131 130 000.00,1.2200%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,131 130 000.00,1.2200%
172 380 000.00,1.6300%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,172 380 000.00,1.6300%
154 220 000.00,1.3800%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,154 220 000.00,1.3800%
176 070 000.00,1.4800%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,176 070 000.00,1.4800%
165 020 000.00,1.3900%,1 330 000.00,0.0100%,0.00,0.0000%,0.00,0.0000%,163 700 000.00,1.3800%
165 810 000.00,1.3400%,1 450 000.00,0.0100%,0.00,0.0000%,0.00,0.0000%,164 360 000.00,1.3300%
181 270 000.00,1.4200%,1 440 000.00,0.0100%,0.00,0.0000%,0.00,0.0000%,179 840 000.00,1.4100%
183 910 000.00,1.3900%,1 290 000.00,0.0100%,0.00,0.0000%,0.00,0.0000%,182 620 000.00,1.3800%
156 990 000.00,1.6200%,1 070 000.00,0.0100%,0.00,0.0000%,0.00,0.0000%,155 930 000.00,1.6100%
44 080 000.00,0.3900%,1 060 000.00,0.0100%,0.00,0.0000%,0.00,0.0000%,43 020 000.00,0.3800%
nan,nan%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,nan,nan%
nan,nan%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,nan,nan%
nan,nan%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,nan,nan%
nan,nan%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,nan,nan%
nan,nan%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,nan,nan%
1 485 000 000.00,0.0600%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,1 485 000 000.00,0.0600%
1 473 000 000.00,0.0500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,1 473 000 000.00,0.0500%
2 298 000 000.00,0.0700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,2 298 000 000.00,0.0700%
2 938 000 000.00,0.0800%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,2 938 000 000.00,0.0800%
2 504 000 000.00,0.0700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,2 504 000 000.00,0.0700%
2 607 000 000.00,0.0600%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,2 607 000 000.00,0.0600%
3 288 000 000.00,0.0700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,3 288 000 000.00,0.0700%
4 436 000 000.00,0.0800%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,4 436 000 000.00,0.0800%
4 165 000 000.00,0.0700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,4 165 000 000.00,0.0700%
3 861 000 000.00,0.0600%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,3 861 000 000.00,0.0600%
4 120 000 000.00,0.0500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,4 120 000 000.00,0.0500%
4 812 000 000.00,0.0500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,4 812 000 000.00,0.0500%
5 898 000 000.00,0.0600%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,5 898 000 000.00,0.0600%
6 413 000 000.00,0.0500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,6 413 000 000.00,0.0500%
8 681 000 000.00,0.0700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,8 681 000 000.00,0.0700%
10 184 000 000.00,0.0700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,10 184 000 000.00,0.0700%
10 572 000 000.00,0.0500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,10 572 000 000.00,0.0500%
19 959 000 000.00,0.0900%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,19 959 000 000.00,0.0900%
11 267 000 000.00,0.0400%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,11 267 000 000.00,0.0400%
9 310 000 000.00,0.0300%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,9 310 000 000.00,0.0300%
3 359 000 000.00,0.0100%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,3 359 000 000.00,0.0100%
nan,nan%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,nan,nan%
4 231 400 000.00,2.0100%,3 157 200 000.00,1.5000%,358 100 000.00,0.1700%,215 200 000.00,0.1000%,1 580 700 000.00,0.7500%
4 820 600 000.00,2.2500%,3 361 000 000.00,1.5700%,450 200 000.00,0.2100%,310 300 000.00,0.1400%,1 890 800 000.00,0.8800%
5 105 100 000.00,2.2800%,3 491 200 000.00,1.5600%,508 200 000.00,0.2300%,395 300 000.00,0.1800%,1 951 700 000.00,0.8700%
5 173 100 000.00,2.2200%,3 581 300 000.00,1.5400%,467 300 000.00,0.2000%,407 500 000.00,0.1800%,1 929 600 000.00,0.8300%
5 208 000 000.00,2.1500%,3 598 700 000.00,1.4900%,476 200 000.00,0.2000%,408 600 000.00,0.1700%,2 160 100 000.00,0.8900%
5 167 350 000.00,2.0200%,3 613 900 000.00,1.4100%,435 250 000.00,0.1700%,391 000 000.00,0.1500%,2 068 300 000.00,0.8100%
5 258 400 000.00,1.9900%,3 632 200 000.00,1.3700%,457 200 000.00,0.1700%,370 400 000.00,0.1400%,2 222 700 000.00,0.8400%
5 304 700 000.00,1.9400%,3 665 100 000.00,1.3400%,421 600 000.00,0.1500%,382 800 000.00,0.1400%,2 274 800 000.00,0.8300%
5 545 400 000.00,1.9700%,3 893 900 000.00,1.3900%,400 600 000.00,0.1400%,404 700 000.00,0.1400%,2 359 700 000.00,0.8400%
6 143 180 000.00,2.0700%,4 309 900 000.00,1.4500%,578 480 000.00,0.2000%,393 500 000.00,0.1300%,2 410 600 000.00,0.8100%
6 219 000 000.00,2.0100%,4 475 000 000.00,1.4400%,608 400 000.00,0.2000%,226 800 000.00,0.0700%,2 529 000 000.00,0.8200%
5 766 030 000.00,1.7700%,4 237 900 000.00,1.3000%,520 330 000.00,0.1600%,163 200 000.00,0.0500%,2 479 400 000.00,0.7600%
5 838 410 000.00,1.7000%,4 419 500 000.00,1.2900%,497 910 000.00,0.1400%,141 400 000.00,0.0400%,2 584 700 000.00,0.7500%
5 713 740 000.00,1.6200%,4 347 700 000.00,1.2400%,534 040 000.00,0.1500%,130 500 000.00,0.0400%,2 536 500 000.00,0.7200%
